Romanian,English
eu,I
lui,his
că,that
el,he
fost,was
pentru,for
pe,on
sunt,are
cu,with
la,at
una,one
au,have
acest,this
de,by
fierbinte,hot
cuvânt,word
dar,but
ce,what
unele,some
este,is
tu,you
sau,or
și,and
poate,can
afară,out
alte,other
care,which
face,do
lor,their
timp,time
dacă,if
va,will
cum,how
a declarat,said
fiecare,each
spune,tell
pune,put
adăuga,add
chiar,even
teren,land
aici,here
lumina,light
fel,kind
mamă,mother
lume,world
construi,build
pământ,earth
loc,place
trăi,live
unde,where
după,after
înapoi,back
mic,little
învăța,learn
între,between
păstra,keep
ochi,eye
niciodată,never
gând,thought
oraș,city
copac,tree
mare,sea
principal,main
deschis,open
copii,children
începe,begin
hârtie,paper
grup,group
întotdeauna,always
muzica,music
râu,river
masina,car
roșu,red
lista,list
simți,feel
pasăre,bird
curând,soon
corp,body
câine,dog
familie,family
aștepta,wait
cutie,box
ploaie,rain
regulă,rule
rece,cold
energie,energy
vânătoare,hunt
fratele,brother
cred,believe
alege,pick
motiv,reason
lungime,length
vorbi,speak
greutate,weight
gheață,ice
picătură,drop
inimă,heart
prezent,present
grele,heavy
poziție,position
